================================================================================
Total number of paths: 13
Per-path SAT metrics:
  path_idx | type | status | gate_count | runtime_s | peak_rss_mb | total_clauses | sat_query_count
        0 |    0 | skipped |         24 |  0.000000 |       0.000 |             0 |               0
        1 |    1 | unsat   |         40 |  0.015472 |       3.453 |             0 |               1
        2 |    1 | sat     |         36 |  0.007533 |       3.281 |             0 |               1
        3 |    1 | unsat   |         36 |  0.008310 |       3.281 |             0 |               1
        4 |    1 | unsat   |         34 |  0.013938 |       3.438 |             0 |               1
        5 |    1 | unsat   |         30 |  0.008271 |       3.172 |             0 |               1
        6 |    1 | unsat   |         30 |  0.008288 |       3.188 |             0 |               1
        7 |    1 | unsat   |         28 |  0.010575 |       3.234 |             0 |               1
        8 |    1 | sat     |         24 |  0.007181 |       3.094 |             0 |               1
        9 |    1 | sat     |         24 |  0.007514 |       3.109 |             0 |               1
       10 |    1 | unsat   |         22 |  0.008625 |       3.172 |             0 |               1
       11 |    1 | sat     |         18 |  0.007608 |       3.016 |             0 |               1
       12 |    1 | sat     |         18 |  0.007068 |       3.047 |             0 |               1
================================================================================
