Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1782220370.613	     0.789	0	150	0	0	/home/bionicle8699/flag_verification/flag-analysis/scripts/run_one_job.sh ./protocols/d_3_lai_protocol.json './[[5,1,3]]_[1,1,1,1]_T/[[5,1,3]]_[1,1,1,1]_T_lai_d_3_protocol_config.txt' 1 1 15
3	:	1782220370.624	     0.827	0	150	0	0	/home/bionicle8699/flag_verification/flag-analysis/scripts/run_one_job.sh ./protocols/d_3_lai_protocol.json './[[5,1,3]]_[2,2]_T_fix_2 /[[5,1,3]]_[2,2]_T_fix_2_lai_3_protocol_config.txt' 1 3 15
2	:	1782220370.618	     0.907	0	146	1	0	/home/bionicle8699/flag_verification/flag-analysis/scripts/run_one_job.sh ./protocols/d_3_lai_protocol.json './[[5,1,3]]_[2,2]_T_fix/[[5,1,3]]_[2,2]_T_fix_lai_3_protocol_config.txt' 1 2 15
4	:	1782220370.629	     1.117	0	108	0	0	/home/bionicle8699/flag_verification/flag-analysis/scripts/run_one_job.sh ./protocols/d_3_lai_protocol.json './config/[[7,1,3]]_lai_3_protocol.txt' 1 4 15
7	:	1782220371.529	     0.782	0	138	1	0	/home/bionicle8699/flag_verification/flag-analysis/scripts/run_one_job.sh ./protocols/d_3_lai_protocol.json './[[5,1,3]]_[2,2]_T/[[5,1,3]]_[2,2]_T_lai_3_protocol_config.txt' 1 7 15
8	:	1782220371.750	     0.775	0	134	1	0	/home/bionicle8699/flag_verification/flag-analysis/scripts/run_one_job.sh ./protocols/d_3_lai_protocol.json './[[5,1,3]]_[2,2]/[[5,1,3]]_[2,2]_lai_3_protocol_config.txt' 1 8 15
6	:	1782220371.455	     1.184	0	98	0	0	/home/bionicle8699/flag_verification/flag-analysis/scripts/run_one_job.sh ./protocols/low_depth_7_1_3_w_6_protocol.json ./config/low_depth_7_1_3_w_6.txt 1 6 15
9	:	1782220372.317	     1.268	0	106	0	0	/home/bionicle8699/flag_verification/flag-analysis/scripts/run_one_job.sh ./protocols/origin_5_1_3_protocol.json './[[5,1,3]]_origin/[[5,1,3]]_origin_config.txt' 1 9 15
5	:	1782220371.406	     2.337	0	130	1	0	/home/bionicle8699/flag_verification/flag-analysis/scripts/run_one_job.sh ./protocols/5_1_3_low_depth_protocol.json './[[5,1,3]]_low_depth/[[5,1,3]]_low_depth_protocol_config.txt' 1 5 15
10	:	1782220372.529	     2.793	0	124	1	0	/home/bionicle8699/flag_verification/flag-analysis/scripts/run_one_job.sh ./protocols/chris_d_3_flag_protocol.json './[[9,1,3]]_surface_code_seq/[[9,1,3]]_chris_protocol_config.txt' 1 10 15
14	:	1782220375.330	  2564.473	0	162	0	0	/home/bionicle8699/flag_verification/flag-analysis/scripts/run_one_job.sh ./protocols/d_5_lai_protocol.json './[[19,1,5]]_[2,2,2,1,1,1]_T/[[19,1,5]]_[2,2,2,1,1,1]_T_lai_d_5_protocol_config.txt' 2 14 15
15	:	1782222939.811	     0.142	0	951	1	0	/home/bionicle8699/flag_verification/flag-analysis/scripts/run_one_job.sh ./protocols/d_5_lai_protocol.json './[[19,1,5]]_[1,1,1,...]_T/[[19,1,5]]_[1,1,1,...]_lai_d_5_protocol_config.txt' 2 15 15
