Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1782564137.605	     4.736	0	115	0	0	/home/bionicle8699/flag_verification/flag-analysis/scripts/run_one_job_dimacs.sh ./protocols/d_3_lai_protocol.json './[[5,1,3]]_[1,1,1,1]_T/[[5,1,3]]_[1,1,1,1]_T_lai_d_3_protocol_config.txt' 1 1 19
2	:	1782564142.430	     4.680	0	111	1	0	/home/bionicle8699/flag_verification/flag-analysis/scripts/run_one_job_dimacs.sh ./protocols/d_3_lai_protocol.json './[[5,1,3]]_[2,2]_T_fix/[[5,1,3]]_[2,2]_T_fix_lai_3_protocol_config.txt' 1 2 19
3	:	1782564147.286	     4.305	0	115	1	0	/home/bionicle8699/flag_verification/flag-analysis/scripts/run_one_job_dimacs.sh ./protocols/d_3_lai_protocol.json './[[5,1,3]]_[2,2]_T_fix_2 /[[5,1,3]]_[2,2]_T_fix_2_lai_3_protocol_config.txt' 1 3 19
4	:	1782564151.607	     4.684	0	73	0	0	/home/bionicle8699/flag_verification/flag-analysis/scripts/run_one_job_dimacs.sh ./protocols/d_3_lai_protocol.json './config/[[7,1,3]]_lai_3_protocol.txt' 1 4 19
5	:	1782564156.430	     6.452	0	589	1	0	/home/bionicle8699/flag_verification/flag-analysis/scripts/run_one_job_dimacs.sh ./protocols/5_1_3_low_depth_protocol.json './[[5,1,3]]_low_depth/[[5,1,3]]_low_depth_protocol_config.txt' 1 5 19
6	:	1782564163.042	     4.819	0	103	1	0	/home/bionicle8699/flag_verification/flag-analysis/scripts/run_one_job_dimacs.sh ./protocols/d_3_lai_protocol.json './[[5,1,3]]_[2,2]_T/[[5,1,3]]_[2,2]_T_lai_3_protocol_config.txt' 1 6 19
7	:	1782564167.882	     4.641	0	99	1	0	/home/bionicle8699/flag_verification/flag-analysis/scripts/run_one_job_dimacs.sh ./protocols/d_3_lai_protocol.json './[[5,1,3]]_[2,2]/[[5,1,3]]_[2,2]_lai_3_protocol_config.txt' 1 7 19
8	:	1782564172.733	     5.174	0	141	0	0	/home/bionicle8699/flag_verification/flag-analysis/scripts/run_one_job_dimacs.sh ./protocols/origin_5_1_3_protocol.json './[[5,1,3]]_origin/[[5,1,3]]_origin_config.txt' 1 8 19
9	:	1782564178.138	     0.152	0	134	0	0	/home/bionicle8699/flag_verification/flag-analysis/scripts/run_one_job_dimacs.sh 'protocols/low_depth_7_1_3_w_6_second_protocol.json  ./[[7,1,3]]_low_depth_2/[[7,1,3]]_low_depth_2_config.txt'   9 19
10	:	1782564178.381	     5.043	0	94	0	0	/home/bionicle8699/flag_verification/flag-analysis/scripts/run_one_job_dimacs.sh ./protocols/low_depth_7_1_3_w_6_protocol.json ./config/low_depth_7_1_3_w_6.txt 1 10 19
11	:	1782564183.603	     6.902	0	173	1	0	/home/bionicle8699/flag_verification/flag-analysis/scripts/run_one_job_dimacs.sh ./protocols/chris_d_3_flag_protocol.json './[[9,1,3]]_surface_code_seq/[[9,1,3]]_chris_protocol_config.txt' 1 11 19
